Company Name,Year,Advertising % TR,Calculated Tax Rate %,Current Ratio,Earnings Before Tax Margin %,EBITDA Margin %,Gross Margin %,Interest Coverage,Inventories % TA,Inventory Turnover,LT Debt to Equity,Net Current Assets % TA,Net PPE % TA,Net PPE Turnover,Net Profit Margin %,Operating Margin %,Quick Ratio,R&D % TR,Revenue per Employee,ROA % (Net),ROE % (Net),ROI % (Operating),Selling Gen & Admin % TR,Total Asset Turnover,Total Debt to Equity
"Rockwell Automation, Inc.",2019,-,22.77,1.54,13.46,17.03,43.32,15.48,9.42,6.56,4.84,17.16,9.36,11.66,10.39,20.14,1.15,5.66,291078,11.25,68.83,44.53,22.98,1.08,5.58
"Rollins, Inc.",2019,4.03,22.14,0.76,12.96,15.12,50.70,45.89,1.12,56.35,0.34,-5.75,11.21,12.13,10.09,15.75,0.56,-,134796,14.33,26.62,34.89,30.93,1.42,0.36
Roper Technologies Inc,2019,-,20.63,0.83,41.50,52.73,63.86,8.03,1.10,9.96,0.49,-2.20,0.77,39.96,32.94,27.92,0.70,6.32,326051,10.60,20.52,10.92,35.94,0.32,0.56
Ross Stores Inc,2019,0.53,22.60,1.69,13.69,15.82,28.41,-,28.82,6.32,0.09,22.96,40.75,6.19,10.59,13.62,0.75,-,170541,26.99,50.10,57.93,14.79,2.55,0.09
Royal Caribbean Group,2019,4.17,-,0.15,17.42,32.86,44.64,5.46,0.53,38.41,0.69,-22.40,83.99,0.45,17.16,19.02,0.07,-,128228,6.48,16.15,9.24,14.24,0.38,0.91
S&P Global Inc,2019,0.51,21.40,1.52,43.74,49.74,73.12,16.05,-,-,8.24,14.27,2.82,22.71,31.69,47.42,1.45,-,297733,20.41,383.56,72.89,22.65,0.64,8.24
Salesforce.Com Inc,2019,3.63,-12.92,0.95,7.40,11.65,74.02,3.47,-,-,0.20,-1.86,6.67,6.65,8.36,4.03,0.82,14.20,379486,4.29,8.88,3.58,55.79,0.51,0.20
SBA Communications Corp (New),2019,-,21.19,0.32,9.28,43.61,75.53,1.42,-,-,-,-7.32,28.63,0.72,7.30,28.96,0.25,-,1382735,1.73,-,8.82,9.57,0.24,-
Schein (Henry) Inc,2019,0.25,23.45,1.58,6.81,7.81,30.95,20.50,19.98,4.06,0.21,16.61,4.61,28.13,6.96,7.19,0.66,-,527012,8.90,23.38,16.59,23.61,1.28,0.25
Schlumberger Ltd,2019,-,-,1.19,-31.33,-23.49,13.62,-,7.33,7.06,0.62,4.32,16.46,3.17,-30.49,-29.50,0.76,2.16,316667,-15.99,-33.83,-21.50,1.43,0.52,0.64
Schwab (Charles) Corp (The),2019,-,23.60,0.28,41.14,43.87,146.26,633.37,-,-,0.34,-63.85,0.72,6.05,31.43,41.14,0.20,-,598223,1.25,17.47,17.09,44.66,0.04,0.34
Seagate Technology Holdings PLC,2019,0.21,-46.65,1.95,13.21,19.24,28.22,10.62,10.92,7.37,1.97,23.98,21.04,5.69,19.36,14.31,1.43,9.54,257248,22.06,105.44,23.12,4.36,1.14,1.97
Sealed Air Corp,2019,-,20.69,1.09,7.73,14.72,32.66,3.14,9.89,5.79,-,2.22,19.81,4.40,5.49,12.07,0.62,1.61,290370,4.86,-,17.16,19.11,0.89,-
Sempra,2019,-,18.17,0.36,16.01,39.35,43.33,2.65,0.42,21.42,1.04,-8.85,55.51,0.30,20.30,23.86,0.20,-,775217,3.48,11.86,5.86,4.58,0.17,1.30
ServiceNow Inc,2019,3.32,-832.79,1.03,1.94,7.07,76.98,-,-,-,0.33,1.23,7.77,8.49,18.11,1.22,0.92,21.63,333665,12.66,38.70,1.83,54.13,0.70,0.33
Sherwin-Williams Co (The),2019,1.98,22.23,1.02,11.07,16.09,44.89,7.12,9.22,5.33,1.95,0.54,8.95,9.91,8.61,12.87,0.50,0.58,292923,7.78,39.25,17.80,29.47,0.90,2.11
"Simon Property Group, Inc.",2019,-,-,0.51,34.38,72.32,90.38,3.68,-,-,8.80,-4.66,-,-,36.52,50.53,0.51,-,959198,6.79,67.01,10.82,6.52,0.19,8.80
Skyworks Solutions Inc,2019,-,11.18,5.97,28.46,39.46,47.49,124.37,12.60,3.22,-,38.45,24.91,2.89,25.28,28.19,4.06,12.56,376231,17.71,20.83,23.23,5.87,0.70,-
Smith (A O) Corp,2019,3.70,21.63,1.96,15.78,18.76,39.45,42.28,9.91,5.96,0.17,24,17.84,5.51,12.36,15.54,1.49,2.94,198192,12.07,21.87,23.92,23.91,0.98,0.17
Smucker (J.M.) Co.,2019,3.03,26.68,0.69,8.95,14.23,37.20,4.47,5.45,5.58,0.59,-4.29,11.44,4.30,6.56,11.85,0.26,0.71,1059189,3.21,6.49,6.98,19.25,0.49,0.74
"Snap-On, Inc.",2019,1.17,22.97,2.51,22.67,26.11,45.33,20.26,13.36,2.76,0.28,25.17,9.16,8.02,17.05,23.66,1.59,1.45,318662,12.57,21.37,22.97,-,0.74,0.28
Southern Company (The),2019,-,28.18,0.78,29.79,52.08,44.95,2.98,2.01,4.93,1.50,-2.30,69.99,0.26,22.20,24.12,0.43,-,766525,4.04,18,7.30,0,0.18,1.61
Southwest Airlines Co,2019,0.95,22.22,0.67,13.18,18.58,69.09,-,2.04,14.01,0.19,-11.50,65.75,1.23,10.26,13.18,0.58,-,368882,8.82,23.37,22.99,36.98,0.86,0.27
Stanley Black & Decker Inc,2019,0.63,14.23,1.01,7.82,13.30,33.27,5.83,10.95,4.16,0.35,0.25,9.51,7.48,6.62,9.30,0.40,1.77,243647,4.79,11.29,10.91,20.83,0.72,0.38
Starbucks Corp.,2019,0.93,20.91,0.92,15.72,22.08,67.83,16.12,7.96,5.82,-,-2.68,33.46,4.30,13.58,14.26,0.59,-,76825,16.64,-,48.77,46.47,1.23,-
State Street Corp.,2019,-,17.33,-,20.65,-,-,-,-,-,-,-,0.93,5.84,17.07,-,-,-,335805,0.91,9.11,-,-,0.05,0.51
STERIS plc (Ireland),2019,0.38,17.43,2.27,13.28,19.36,42.25,9.80,4.10,7.76,0.37,11.60,20.33,2.72,10.93,14.79,1.67,2.27,231848,5.92,9.53,9.26,24.08,0.54,0.37
Stryker Corp,2019,-,18.70,2.58,17.21,22.44,65.14,354.44,10.88,1.66,0.80,23.07,8.51,6.13,13.99,18.23,1.66,6.52,372100,7.26,16.98,11.93,35.98,0.52,0.87
SVB Financial Group,2019,-,26.43,-,45.61,-,-,-,-,-,-,-,0.23,24.26,32.20,-,-,-,990709,1.78,19.62,-,-,0.06,0.05
Synchrony Financial,2019,-,23.33,-,25.11,-,-,-,-,-,-,-,-,-,19.25,-,-,-,1179455,3.54,25.18,-,-,0.18,1.32
Synopsys Inc,2019,-,2.41,0.99,16.23,22.37,77.60,108.38,2.21,5.25,0.03,-0.21,6.71,9.10,15.84,15.48,0.73,33.83,241846,8.48,14.08,12.74,25.65,0.54,0.03
Sysco Corp,2019,-,16.53,1.33,3.34,5.03,18.98,6.47,17.90,15.36,3.25,11.35,25.06,13.36,2.79,3.88,0.77,-,873610,9.32,67.03,21.74,-,3.35,3.26
T Rowe Price Group Inc.,2019,-,23.17,2.53,52.11,55.50,-,311.85,-,-,-,15.73,7.23,8.41,37.94,42.49,2.52,-,762783,25.05,32.23,36.09,50.11,0.66,-
T-Mobile US Inc,2019,3.56,24.66,0.74,10.23,26.03,58.84,5.15,1.11,18.09,0.99,-3.68,25.29,1.98,7.71,12.72,0.48,-,849019,4.35,12.96,10.12,31.42,0.56,1.02
"Take-Two Interactive Software, Inc.",2019,9.34,-43.41,1.45,8.72,9.22,42.90,-,0.66,70.28,-,20.65,3.01,23.17,12.51,7.75,1.01,8.63,545015,8.37,18.92,11.68,25.21,0.67,-
Tapestry Inc,2019,4.10,16.03,2.79,12.71,17.96,67.26,17,11.32,2.72,0.46,23.83,13.65,6.63,10.68,13.51,1.67,-,287793,9.52,19.09,16.39,53.75,0.89,0.46
Target Corp,2019,1.98,20.29,0.83,4.88,8.75,29.27,8.92,23,5.87,0.90,-6.04,66.60,2.88,3.90,5.45,0.18,-,209897,7.34,25.60,17.97,20.86,1.88,1
TE Connectivity Ltd,2019,-,-0.78,1.57,14.36,18.52,32.67,40.37,9.32,4.90,0.32,10.23,18.15,3.81,13.71,14.71,0.92,4.25,172884,9.23,17.28,13.51,11.08,0.67,0.38
Teledyne Technologies Inc,2019,-,15.07,1.72,14.97,17.99,39.30,23.41,8.59,5.07,0.28,12.02,10.65,6.82,12.72,15.54,1.12,6.63,269066,9.62,16.32,15.07,23.76,0.76,0.31
Teleflex Incorporated,2019,-,-35.92,2.32,13.10,24.37,57.47,5.36,7.55,2.44,0.62,11.78,6.83,6.01,17.78,16.23,1.26,4.39,180233,7.33,16.72,8.79,36,0.41,0.64
"Teradyne, Inc.",2019,0.72,11.09,3.08,22.91,27.67,58.38,-,7.06,5.45,0.27,40.18,11.49,7.65,20.37,24.12,2.36,-,424994,17.02,31.14,29.32,19.05,0.84,0.27
Tesla Inc,2019,0.11,-,1.13,-2.71,5.48,16.56,-,10.35,6.15,1.76,4.19,30.30,2.26,-3.51,-0.28,0.71,5.46,511871,-2.69,-14.94,-0.37,10.77,0.77,2.03
Texas Instruments Inc.,2019,0.21,12.41,4.13,39.82,46.30,63.71,33.66,11.11,2.47,0.60,36.84,18.33,4.44,34.88,39.79,3.04,10.73,483170,28.54,56.05,39.78,11.44,0.82,0.65
Textron Inc,2019,-,13.48,1.84,6.91,10.70,16.32,6.51,27.09,2.89,0.59,21.43,16.83,5.22,5.98,8.17,0.54,4.75,383131,5.48,14.97,11.96,8.45,0.92,0.69
The Gap Inc,2019,3.92,24.13,1.96,7.97,11.68,38.13,34.05,26.48,4.97,0.35,25.80,36.18,5.82,6.05,8.21,0.79,-,123152,12.54,30.04,29.71,-,2.07,0.35
Thermo Fisher Scientific Inc,2019,-,9.19,1.92,15.93,26.62,44.35,10.16,5.77,4.46,0.58,9.76,8.13,5.73,14.47,17.99,1.09,3.93,340560,6.45,12.91,9.77,24.05,0.45,0.60
"TJX Companies, Inc.",2019,1.15,26.68,1.53,10.71,12.83,28.59,472.02,31.96,6.35,0.49,20.51,36.68,7.62,7.85,10.73,0.61,-,144741,21.62,60.18,55.45,17.86,2.75,0.49
Tractor Supply Co.,2019,1.04,22.26,1.43,8.66,11.25,34.38,37.46,30.30,3.43,0.25,10.21,22.01,7.29,6.73,8.90,0.06,-,261715,13.47,36.04,37.26,23.14,2,0.27
Trane Technologies plc,2019,-,20.31,1.28,10.49,13.27,31.01,8.41,8.36,6.76,0.68,6.61,8.81,9.39,8.50,12.16,0.84,1.43,331978,7.35,19.75,16.84,18.86,0.86,0.77
TransDigm Group Inc,2019,-,20.89,3.16,20.35,41.13,53.78,2.24,7.58,2.37,-,20.46,4.66,9.12,17.03,36.88,1.64,2.24,285421,6.25,-,15.37,14.32,0.37,-
Travelers Companies Inc (The),2019,-,16.44,-,9.94,-,-,-,-,-,-,-,-,-,8.30,-,-,-,1025357,2.45,10.74,-,-,0.29,0.25
Trimble Inc,2019,1.31,-54.92,1.02,9.47,15.46,54.56,4.56,4.70,4.86,0.52,0.32,3.64,14.14,15.76,11.52,0.66,14.39,279651,8.15,17.47,7.70,25.57,0.52,0.59
Truist Financial Corp,2019,-,19.46,-,27.86,-,-,-,-,-,-,-,0.78,4.95,22.35,-,-,-,244475,0.92,6.68,-,-,0.04,0.56
Twitter Inc,2019,2.24,-275.68,9.15,11.28,23.69,67.13,-,-,-,0.29,53.43,8.12,3.61,42.37,10.59,9,19.72,705986,12.82,18.90,3.53,36.82,0.30,0.29
"Tyler Technologies, Inc.",2019,-,8.33,1.34,14.71,18.84,47.58,20.43,-,-,-,7.78,7.84,6.64,13.49,14.39,1.27,7.49,202390,7.36,9.96,10.63,23.72,0.55,-
Tyson Foods Inc,2019,0.65,16.29,1.30,5.73,8.73,11.84,6.27,12.41,9.81,0.70,5,22,6.32,4.77,6.67,0.48,0.23,301571,6.52,15.08,11.64,5.18,1.37,0.85
UDR Inc,2019,0.56,5.86,0.10,5.69,65.38,25.03,1.39,-,-,1.40,-3,-,-,16.05,18.73,-,-,852845,2.13,5.91,2.97,4.47,0.13,1.40
Ulta Beauty Inc,2019,4.38,23.35,2.32,12.79,16.88,35.87,-,38.05,3.73,-,34.19,38.42,5.58,9.80,12.72,0.65,-,153070,21.65,36.74,47.65,22.86,2.21,-
Under Armour Inc,2019,10.99,33.37,1.90,3.98,7.75,46.90,11.15,18.42,2.93,0.28,26.43,16.35,6.51,1.75,4.50,1.05,-,321167,2.03,4.42,8.63,42.41,1.16,0.28
Union Pacific Corp,2019,-,23.60,0.79,35.69,50.44,75.38,8.67,1.22,7.16,1.32,-1.45,87.42,0.41,27.27,39.40,0.57,-,579143,9.80,30.71,19.86,20.88,0.36,1.39
United Airlines Holdings Inc,2019,0.49,23.12,0.55,9.05,10.55,56.74,8.38,2.04,15.97,1.16,-12.82,57.35,1.48,6.96,9.94,0.42,-,450615,6.18,27.96,16.84,31.76,0.89,1.29
United Parcel Service Inc,2019,-,21.44,1.11,7.63,11.69,76.09,11.94,-,-,6.53,2.92,52.69,2.60,5.99,10.52,0.99,-,149685,8.23,141.22,29.01,54.39,1.37,7.57
United Rentals Inc,2019,-,22.46,0.84,16.19,40.56,39.25,3.32,0.63,35.37,2.72,-1.88,3.18,15.35,12.55,23.01,0.72,-,489581,6.33,32.46,14.15,11.68,0.50,2.98
UnitedHealth Group Inc,2019,-,20.81,0.69,7.43,8.84,9.25,11.55,-,-,0.64,-11.01,5.01,28.22,5.71,8.13,0.58,-,745092,8.49,25.32,21.10,-,1.49,0.71
"Universal Health Services, Inc.",2019,-,22.39,1.23,9.37,14.81,-,7.47,1.37,73.86,0.71,3.02,42.99,2.31,7.16,10.69,1.03,-,125866,7.11,14.96,12.88,61.06,0.99,0.72
US Bancorp (DE),2019,-,19.18,-,31.45,-,-,-,-,-,-,-,0.75,8.87,25.30,-,-,-,392313,1.44,13.44,-,-,0.06,0.69
Valero Energy Corp,2019,-,20.14,1.44,3.22,5.02,4.41,8.45,13.02,14.96,0.42,10.78,54.33,3.73,2.24,3.54,0.87,-,10597143,4.66,11.14,12.32,0.80,2.08,0.44
Ventas Inc,2019,-,-15.67,0.06,9.28,48.33,53.25,1.80,-,-,1.16,-6.51,-,-,11.18,20.94,0.05,-,7505329,1.83,4.19,3.72,4.29,0.16,1.16
Verisign Inc,2019,1.04,19.30,1.32,61.61,70.56,85.35,12.59,-,-,-,16.91,13.50,4.89,49.71,65.45,1.28,4.94,1412455,32.50,-,231.30,14.96,0.65,-
Verisk Analytics Inc,2019,0.41,20.85,0.50,21.80,39.08,62.53,5.50,-,-,1.17,-10.59,7.77,4.72,17.26,26.73,0.41,2.52,280333,6.95,20.77,13.66,23.15,0.40,1.39
Verizon Communications Inc,2019,2.33,12.95,0.84,17.25,31.64,58.50,6.59,0.49,39.69,1.64,-2.53,31.51,1.46,14.61,23.04,0.62,-,976800,6.92,33.64,17.92,22.67,0.47,1.82
"Vertex Pharmaceuticals, Inc.",2019,-,15.64,3.61,33.51,35.95,86.84,-,2.01,3.75,0.09,41.93,8.96,5.35,28.27,28.77,3.33,42.15,1387607,16.16,22.37,20.56,15.82,0.57,0.09
VF Corp.,2019,6.11,17.57,1.76,11.03,13.82,50.70,19.62,18.76,3.59,0.49,19.43,10.21,13.42,9.10,12.10,0.84,-,185156,12.22,31.63,23.15,38.60,1.34,0.65
ViacomCBS Inc,2019,6.11,-0.27,1.32,12.03,16.56,38.07,4.16,5.81,7.08,1.36,5.76,4.21,16.89,11.89,13.39,0.87,-,973469,9.27,41.32,16.59,20.30,0.78,1.42
Viatris Inc,2019,-,89.12,1.21,1.34,8.07,33.89,1.38,8.55,2.90,0.94,3.80,6.88,5.32,0.15,6.22,0.65,5.56,328586,0.05,0.14,2.95,22.29,0.36,0.94
Visa Inc,2019,-,18.84,1.56,64.78,69.69,-,28.14,-,-,0.48,10.41,3.71,8.89,52.57,65.29,1.24,-,1178308,17.04,35.17,29.40,30.12,0.32,0.48
Vornado Realty Trust,2019,-,2.99,2.07,179.92,215.17,52.31,1.16,-,-,1.10,4.91,-,-,163.55,15.56,1.96,-,480215,17.75,56.23,2.11,9.43,0.11,1.10
Vulcan Materials Co (Holding Company),2019,-,17.84,2.58,15.37,24.09,25.48,6.62,4.30,8.28,0.50,7.92,40.53,1.15,12.53,17.32,1.56,-,537349,6.03,11.41,10.33,7.52,0.48,0.50
Wabtec Corp,2019,-,27.42,1.29,5.35,8.94,27.78,3.03,9.36,4.52,0.44,4.93,8.74,7.39,3.98,8.09,0.69,-,298182,2.37,5.10,6.28,14.23,0.59,0.44
Walgreens Boots Alliance Inc,2019,0.43,13.48,0.73,3.19,4.80,21.97,6.87,13.81,11.30,0.47,-10.46,19.94,9.99,2.91,3.53,0.32,-,400193,5.87,16.08,11.97,18.44,2.02,0.72
Walmart Inc,2019,0.68,37.36,0.80,2.23,4.72,25.10,10.31,20.19,8.75,0.69,-7.10,47.57,4.85,1.30,4.27,0.18,-,233820,3.15,8.87,17.23,20.83,2.43,0.80
"Waste Management, Inc. (DE)",2019,-,20.09,1.97,13.98,26.13,38.56,6.58,0.38,91.31,1.88,11.05,46.47,1.24,10.81,17.51,1.87,-,344209,6.63,25.03,14.68,10.55,0.61,1.91
Waters Corp.,2019,0.25,12.69,2.22,28.18,33.66,58,26.60,12.54,3.30,-,28.20,16.32,6.33,24.61,29.44,1.56,5.94,320879,18.85,87.67,33.89,22.22,0.77,-
WEC Energy Group Inc,2019,-,11.04,0.66,15.05,34.03,35.35,3.05,1.57,8.86,1.11,-3.12,67.58,0.33,15.09,20.36,0.38,-,1001878,3.32,11.37,6.88,2.68,0.22,1.26
Wells Fargo & Co (New),2019,-,17.18,-,23.29,-,-,-,-,-,-,-,0.48,11.40,18.81,-,-,-,399673,1.02,10.20,-,-,0.05,1.22
Welltower Inc,2019,-,0.54,0.41,10.60,30.97,16.21,70.35,-,-,0.86,-3.62,-,-,24.06,10.51,0.36,-,11560510,3.87,8.17,1.84,2.47,0.16,0.96
"West Pharmaceutical Services, Inc.",2019,-,20.22,3.10,15.86,21.55,32.92,63.11,10.07,5.48,0.16,30.63,35.85,2.22,13.14,16.12,2.20,2.11,224378,11.19,16.28,17.33,14.71,0.85,0.16
Western Digital Corp,2019,0.65,-,2.22,-1.73,5.85,22.64,0.21,12.45,4.12,1.03,17.67,10.78,5.60,-4.55,0.53,1.22,13.17,268843,-2.72,-7.03,0.40,7.95,0.60,1.06
Western Union Co,2019,3.95,19.91,0.77,24.97,29.18,41.68,6.41,-,-,-,-5.32,2.13,23.14,20,17.65,0.71,-,460183,11.92,-,29.59,24.03,0.60,-
WestRock Co,2019,-,24.40,1.45,6.20,14.44,20.50,3.37,6.99,7.39,0.81,5.10,37.10,1.80,4.72,7.95,0.68,-,357906,3.11,7.46,7.34,11.57,0.66,0.86
Weyerhaeuser Co,2019,-,-,1.60,-3.25,5.72,17.42,1.72,2.54,13.45,0.75,3.69,85.51,0.46,-1.16,9.14,0.54,0.09,697234,-0.45,-0.88,3.96,6.59,0.39,0.78
Whirlpool Corp,2019,1.64,22.81,0.88,7.60,10.57,17.30,59.68,12.91,6.79,1.30,-5.14,17.48,6.08,5.80,5.55,0.49,2.65,265182,6.36,43.16,13.74,10.49,1.10,1.56
Williams Cos Inc (The),2019,-,48.62,0.40,8.40,39.81,56.91,1.62,0.27,27.72,1.51,-5.19,63.42,0.29,10.36,23.45,0.32,-,1704281,1.86,6.07,5.29,6.80,0.18,1.67
Willis Towers Watson Public Ltd Co,2019,-,18.84,1.06,14.63,25.05,-,6.24,-,-,0.52,2.73,2.95,9.09,11.55,14.70,0.22,-,193970,3.08,10.39,8.77,58.07,0.27,0.55
Wynn Resorts Ltd,2019,0.93,36.22,1.44,7.38,22.40,38.48,2.25,0.64,52.43,5.78,6.30,69.38,0.70,1.86,13.29,1.36,-,218911,0.91,6.51,7.44,13.87,0.49,5.97
Xcel Energy Inc,2019,-,8.76,0.68,12.67,35.57,40.97,2.86,1.08,12.47,1.31,-2.88,78.26,0.30,11.90,18.25,0.39,-,1018733,2.85,10.78,6.85,0,0.24,1.41
"Xilinx, Inc.",2019,-,8.12,8.19,31.65,32.76,68.75,-,6.12,3.47,0.43,66.33,6.39,9.69,29.09,31.28,7.39,24.29,691957,17.48,34.37,23.57,13.02,0.60,0.43
Xylem Inc,2019,-,3.63,1.63,7.87,11.28,38.98,7.84,6.99,5.65,0.69,12.31,8.53,7.99,7.64,9.26,1.17,3.64,322025,5.37,14.01,9.39,22.06,0.70,0.78
Yum! Brands Inc,2019,1.48,5.75,0.99,24.53,35.25,50.28,3.90,-,-,-,-0.27,22.37,4.65,23.12,33.82,0.77,-,164618,27.65,-,80.69,16.38,1.20,-
Zebra Technologies Corp.,2019,0.42,9.03,0.85,13.33,19.22,46.82,7.78,10.06,4.80,0.59,-4.44,5.50,17.66,12.13,15.43,0.48,9.97,546951,12.02,34.28,22.91,18.42,0.99,0.69
Zimmer Biomet Holdings Inc,2019,-,-24.92,1.37,11.35,26.79,71.78,5.01,9.68,0.97,0.54,5.20,8.43,3.90,14.18,14.25,0.57,5.63,401116,4.64,9.57,5.57,41.89,0.33,0.66
"Zions Bancorporation, N.A.",2019,-,22.51,-,32.45,-,-,-,-,-,-,-,1.65,2.86,25.15,-,-,-,328674,1.18,10.93,-,-,0.05,0.23
Zoetis Inc,2019,2.67,16.71,2.63,28.77,37.01,68.18,10.58,12.21,1.42,2.20,25.48,16.80,3.48,23.96,31.42,1.67,7.30,590566,13.44,61.31,22.11,26.17,0.56,2.38
3M Co,2018,1.21,23.39,1.89,21.36,26.76,49.09,23.79,11.96,3.97,1.38,17.71,23.94,3.72,16.33,20.33,1.14,5.56,350368,14.36,50.09,26.61,23.20,0.88,1.50
Abbott Laboratories,2018,-,18.76,1.62,9.40,22.47,58.45,5.06,5.65,3.44,0.63,8.37,11.26,4.03,7.74,11.94,1.03,7.52,296874,3.30,7.71,6.70,31.87,0.43,0.64
AbbVie Inc,2018,3.36,-9.43,0.98,15.87,24.75,76.44,5.58,2.70,4.81,-,-0.50,4.86,11.52,17.36,19.49,0.78,32.83,1091767,8.74,-,17.17,22.59,0.50,-
"ABIOMED, Inc.",2018,-,30.08,5.84,27.02,28.87,83.40,20.53,6.38,9.39,-,52.09,14.90,23.50,18.89,26.47,5.10,12.68,2106721,68.06,79.70,110.07,44.25,3.60,-
Accenture plc,2018,0.19,27.44,1.34,13.96,14.89,29.91,-,-,-,0,14.04,5.17,34.60,9.76,14.04,1.24,1.90,90639,17.23,42.04,60.33,15.87,1.77,0
"Activision Blizzard, Inc.",2018,8.41,3.41,2.31,25.03,34.39,66.44,26.51,0.24,56.56,0.24,19.42,1.58,26.04,24.17,26.51,1.99,14.68,757576,9.93,17.42,14.26,25.25,0.41,0.24
Adobe Inc,2018,1.92,7.27,1.13,30.94,33.65,86.77,-,-,-,0.44,2.96,5.73,9,28.69,31.45,1.06,17.03,423974,15.60,29.15,23.91,37.27,0.54,0.44
Advance Auto Parts Inc,2018,1.26,23.67,1.57,5.80,8.49,44.04,10.68,48.25,1.26,0.29,24.30,15.14,6.95,4.42,6.31,0.39,-,135308,4.85,12.20,13.38,37.73,1.10,0.29
Advanced Micro Devices Inc,2018,2.72,-2.73,1.78,5.10,8.42,37.79,3.73,18.55,5.09,0.88,34.15,7.64,21.32,5.20,6.97,1.20,22.15,642850,8.35,36.01,20,8.68,1.60,0.99
AES Corp,2018,-,35.08,1.14,18.80,34.69,23.97,2.91,1.77,14.33,4.32,1.89,65.79,0.52,11.21,20.24,0.70,-,1192889,3.67,32.56,9.32,1.79,0.33,4.72
AFLAC Inc,2018,-,26.69,-,18.31,-,-,-,-,-,-,-,0.32,49.62,13.42,-,-,-,1910272,2.10,12.15,-,-,0.16,0.25
"Agilent Technologies, Inc.",2018,0.83,66.60,3.29,19.25,22.08,54.68,25.08,7.47,3.67,0.39,31.34,9.62,6.22,6.43,18.88,2.58,7.83,332027,3.72,6.72,14.05,27.96,0.58,0.39
Air Products & Chemicals Inc,2018,-,28.49,2.17,20.61,32.60,30.69,15.01,2.07,16.92,0.27,14.31,51.74,0.97,16.77,21.93,1.92,0.72,547865,7.96,14.30,12.35,8.52,0.47,0.31
Akamai Technologies Inc,2018,-,13.03,2.09,12.64,29.25,64.87,22.29,-,-,0.27,24.25,16.67,3.06,10.99,13.35,1.96,9.07,361015,5.93,9.18,8.31,40.21,0.54,0.49
"Alaska Air Group, Inc.",2018,0.96,25.30,0.61,7.08,12.32,55.20,18.37,0.55,63.28,0.43,-10.58,62.14,1.27,5.29,7.78,0.54,-,353525,4.04,11.70,10.59,32.22,0.76,0.56
Albemarle Corp.,2018,-,18.22,1.69,23.55,30.14,36.07,13.38,9.24,3.34,0.39,10.75,39.85,1.22,20.55,20.77,1.02,2.08,572025,9.05,19.11,12.98,13.22,0.44,0.48
Alexandria Real Estate Equities Inc,2018,-,-,0.26,27.03,73.82,71.29,2.35,-,-,0.75,-5.60,0.66,19.11,28.57,27.94,0.25,-,3439013,2.86,5.71,3.15,6.81,0.10,0.75
Align Technology Inc,2018,4.50,12.37,1.88,23.73,26.38,73.63,-,2.71,11.88,-,29.74,25.40,4.52,20.35,23.73,1.70,6.55,168653,20.90,33.31,38.83,43.35,1.03,-
Allegion Plc,2018,-,8.38,1.79,17.38,21.02,42.95,9.88,9.97,5.99,2.17,14.62,9.85,10.33,15.92,19.25,1.15,-,248336,16.25,82.63,26.46,23.70,1.02,2.22
Alliant Energy Corp,2018,-,9.25,0.48,14.58,36.21,36.94,2.81,1.37,10.27,1.14,-5.57,77.99,0.31,14.78,19.65,0.15,-,909781,3.53,11.91,6.95,0,0.24,1.30
Allstate Corp,2018,-,17.93,-,6.89,-,-,-,-,-,-,-,0.93,37.61,5.66,-,-,-,871225,2,10.27,-,-,0.35,0.30
Alphabet Inc,2018,4.68,11.96,3.92,25.52,30.83,56.48,-,0.48,64.17,0.02,43.41,25.65,2.68,22.46,19.24,3.75,15.65,1385214,14.29,18.62,15.57,17.88,0.64,0.02
Altria Group Inc,2018,0.15,28.09,0.20,33.32,36.69,48.31,13.71,4.19,5.76,0.80,-30.36,3.48,13.17,27.45,35.94,0.07,0.99,3055904,14.09,46.17,26.12,10.87,0.51,1.74
Amazon.com Inc,2018,3.52,10.63,1.10,4.84,10.45,40.25,12.71,10.56,8.38,0.91,4.13,37.99,4.21,4.33,5.33,0.85,-,359671,6.85,28.27,16.68,34.79,1.58,0.91
Amcor plc,2018,-,16.86,0.70,9.25,14.92,19.92,4.82,15.02,5.60,2.61,-15.60,29.83,3.41,7.77,10.75,0.39,-,279484,7.99,78.54,18.30,8.83,1.03,4.40
Ameren Corp,2018,-,22.40,0.57,16.82,39.41,36.75,3.69,1.77,7.92,1.03,-4.24,83.81,0.28,12.96,21.57,0.31,-,711813,3.07,11,8.41,-,0.24,1.18
American Airlines Group Inc,2018,0.29,25.05,0.48,4.23,10.98,54.20,2.83,2.51,14.16,-,-15.61,56.29,1.31,3.17,5.96,0.37,-,345547,2.52,75.17,9.97,30.92,0.80,-
American Electric Power Co Inc,2018,-,5.84,0.48,12.19,33.08,38.17,2.73,1.34,10.68,1.14,-6.59,80.08,0.31,11.88,16.56,0.28,-,921152,2.88,10.30,6.28,0,0.24,1.32
American Express Co.,2018,-,14.79,-,18.77,-,-,-,-,-,-,-,2.34,9.90,15.99,-,-,-,733576,3.74,34.16,-,-,0.23,2.62
American International Group Inc,2018,-,59.92,-,0.54,-,-,-,-,-,-,-,-,-,-0.01,-,-,-,955423,0,-0.01,-,-,0.10,0.61
